thomas_num,thomas_name,last_name,first_name,icpsr,congress,year,st_name,cd,dem,majority,elected,female,afam,latino,votepct,votepct_sq,dwnom1,meddist,majdist,deleg_size,speaker,chair,subchr,power,budget,seniority,sensq,state_leg,state_leg_prof,maj_leader,min_leader,south,south_dem,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,all_bills,all_aic,all_abc,all_pass,all_law,les,leslag
62,"Byron, Goodloe",Byron, Goodloe,13008,93,1973,MD,6,1,1,1970,0,0,0,65,4225,0.02,0.067000002,0.33950001,8,0,0,0,0,0,2,4,1,0.252000004,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0.124041811,
63,"Camp, John",Camp, John,12006,93,1973,OK,6,0,0,1968,0,0,0,73,5329,0.432999998,0.479999989,0.752499998,6,0,0,0,0,0,3,9,1,0.248999998,0,0,1,0,0,0,0,0,0,16,1,1,1,0,3,1,1,1,1,19,2,2,2,1,0.468477607,
64,"Carey, Hugh",Carey, Hugh,10508,93,1973,NY,15,1,1,1960,0,0,0,52,2704,-0.39199999,0.344999999,0.07249999,39,0,0,0,1,0,7,49,0,0,0,0,0,0,2,1,1,1,1,56,0,0,0,0,9,0,0,0,0,67,1,1,1,1,1.245460868,
65,"Carney, Charles",Carney, Charles,12044,93,1973,OH,19,1,1,1970,0,0,0,64,4096,-0.446999997,0.400000006,0.127499998,23,0,0,1,0,0,2,4,1,0.354999989,0,0,0,0,1,1,1,1,1,56,1,1,1,1,1,1,1,1,1,58,3,3,3,3,1.782486439,
66,"Carter, Tim",Carter, Tim,10710,93,1973,KY,5,0,0,1964,0,0,0,74,5476,0.086999997,0.134000003,0.406500012,7,0,0,0,0,0,5,25,0,0,0,0,1,0,0,0,0,0,0,41,0,0,0,0,1,1,1,1,1,42,1,1,1,1,0.305543751,
67,"Casey, Bob",Casey, Bob,1577,93,1973,TX,22,1,1,1958,0,0,0,70,4900,-0.052999999,0.006,0.266499996,24,0,0,1,1,0,8,64,1,0.191,0,0,1,1,2,2,2,2,2,19,0,0,0,0,1,0,0,0,0,22,2,2,2,2,1.972013354,
68,"Cederberg, Elford",Cederberg, Elford,1610,93,1973,MI,10,0,0,1952,0,0,0,67,4489,0.211999997,0.259000003,0.531499982,19,0,0,0,1,1,11,121,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,1,1,1,1,18,1,1,1,1,0.177367225,
69,"Chamberlain, Charles",Chamberlain, Charles,1620,93,1973,MI,6,0,0,1956,0,0,0,51,2601,0.270999998,0.317999989,0.590499997,19,0,0,0,1,0,9,81,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0.087862954,
70,"Chappell, Bill",Chappell, Bill,12007,93,1973,FL,4,1,1,1968,0,0,0,56,3136,0.002,0.048999999,0.321500003,15,0,0,0,1,0,3,9,1,0.224000007,0,0,1,1,1,1,1,1,1,42,2,2,2,2,4,0,0,0,0,47,3,3,3,3,2.083651066,
71,"Chisholm, Shirley",Chisholm, Shirley,12008,93,1973,NY,12,1,1,1968,1,1,0,88,7744,-0.643999994,0.597000003,0.324499995,39,0,0,0,0,0,3,9,1,0.407000005,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,11,0,0,0,0,0.019639954,
72,"Clancy, Donald",Clancy, Donald,10510,93,1973,OH,2,0,0,1960,0,0,0,63,3969,0.393999994,0.440999985,0.713500023,23,0,0,0,1,0,7,49,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0.160220668,
73,"Clark, Frank",Clark, Frank,1763,93,1973,PA,25,1,1,1954,0,0,0,56,3136,-0.301999986,0.254999995,0.017500013,25,0,0,1,0,0,10,100,0,0,0,0,0,0,0,0,0,0,0,48,1,1,1,1,0,0,0,0,0,48,1,1,1,1,0.711110175,
