thomas_num,thomas_name,icpsr,congress,year,st_name,cd,dem,majority,elected,female,afam,latino,votepct,votepct_sq,dwnom1,meddist,majdist,deleg_size,speaker,chair,subchr,power,budget,seniority,sensq,state_leg,state_leg_prof,maj_leader,min_leader,south,south_dem,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,all_bills,all_aic,all_abc,all_pass,all_law,les,leslag
7920,"Royce, Edward",29321,110,2007,CA,40,0,0,1992,0,0,0,67,4489,0.79400003,0.971000016,1.200000048,53,0,0,0,0,0,8,64,1,0.625,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,5,0,1,1,0,0.242593467,0.613947749
4796,"Royce, Edward",29321,103,1993,CA,39,0,0,1992,0,0,0,57,3249,0.792999983,0.950999975,1.131999969,52,0,0,0,0,0,1,1,1,0.625,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.031266466,
5243,"Royce, Edward",29321,104,1995,CA,39,0,1,1992,0,0,0,66,4356,0.792999983,0.609999955,0.37499997,52,0,0,0,0,0,2,4,1,0.625,0,0,0,0,1,1,1,1,0,7,0,0,0,0,0,0,0,0,0,8,1,1,1,0,0.769338727,0.031266466
5690,"Royce, Edward",29321,105,1997,CA,39,0,1,1992,0,0,0,63,3969,0.792999983,0.601499975,0.35799998,52,0,0,1,0,0,3,9,1,0.625,0,0,0,0,1,1,1,1,0,8,0,0,0,0,0,0,0,0,0,9,1,1,1,0,0.87800765,0.769338727
6129,"Royce, Edward",29321,106,1999,CA,39,0,1,1992,0,0,0,63,3969,0.792999983,0.63499999,0.349999994,52,0,0,1,0,0,4,16,1,0.625,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0.138790041,0.87800765
6574,"Royce, Edward",29321,107,2001,CA,39,0,1,1992,0,0,0,63,3969,0.792999983,0.589999974,0.32099998,52,0,0,1,0,0,5,25,1,0.625,0,0,0,0,1,1,1,1,1,11,0,1,1,0,0,0,0,0,0,12,1,2,2,1,1.818431735,0.138790041
7027,"Royce, Edward",29321,108,2003,CA,40,0,1,1992,0,0,0,68,4624,0.792999983,0.537999988,0.292999983,53,0,0,1,0,0,6,36,1,0.625,0,0,0,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,0,11,0,1,1,0,0.430036306,1.818431735
2385,"Hansen, George",10734,98,1983,ID,2,0,0,1974,0,0,0,52,2704,0.790000021,0.916000009,1.095000029,2,0,0,0,0,0,5,25,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,5,1,1,1,1,49,1,1,1,1,0.703035891,0.842645943
6441,"Kerns, Brian",20118,107,2001,IN,7,0,1,2000,0,0,0,65,4225,0.785000026,0.582000017,0.313000023,10,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.031213993,
3715,"Hancock, Mel",15606,101,1989,MO,7,0,0,1988,0,0,0,53,2809,0.783999979,0.915499985,1.105999947,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.028683681,
4164,"Hancock, Mel",15606,102,1991,MO,7,0,0,1988,0,0,0,52,2704,0.783999979,0.935000002,1.110999942,9,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.013552112,0.028683681
4612,"Hancock, Mel",15606,103,1993,MO,7,0,0,1988,0,0,0,62,3844,0.783999979,0.941999972,1.123000026,9,0,0,0,1,0,3,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.031266466,0.013552112
5067,"Hancock, Mel",15606,104,1995,MO,7,0,1,1988,0,0,0,57,3249,0.783999979,0.600999951,0.365999967,9,0,0,0,1,0,4,16,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0.3177118,0.031266466
4956,"Chenoweth, Helen",29514,104,1995,ID,1,0,1,1994,1,0,0,55,3025,0.782999992,0.599999964,0.36499998,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,6,1,0,0,0,0,0,0,0,0,7,2,1,0,0,0.579551697,
5404,"Chenoweth, Helen",29514,105,1997,ID,1,0,1,1994,1,0,0,50,2500,0.782999992,0.591499984,0.34799999,2,0,0,1,0,0,2,4,0,0,0,0,0,0,2,2,2,0,0,13,3,1,0,0,0,0,0,0,0,15,5,3,0,0,1.533974051,0.579551697
5855,"Chenoweth-Hage, Helen",29514,106,1999,ID,1,0,1,1994,1,0,0,55,3025,0.782999992,0.625,0.340000004,2,0,0,1,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,16,5,3,0,0,0,0,0,0,0,16,5,3,0,0,0.941604972,1.533974051
6692,"Barrett, J.",20347,108,2003,SC,3,0,1,2002,0,0,0,67,4489,0.782000005,0.52700001,0.282000005,6,0,0,0,0,1,1,1,1,0.135000005,0,0,1,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0.136140302,
7133,"Barrett, J.",20347,109,2005,SC,3,0,1,2002,0,0,0,100,10000,0.782000005,0.479000002,0.268000007,6,0,0,0,0,1,2,4,1,0.135000005,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0.111884587,0.136140302
7580,"Barrett, J.",20347,110,2007,SC,3,0,0,2002,0,0,0,63,3969,0.782000005,0.958999991,1.187999964,6,0,0,0,0,1,3,9,1,0.135000005,0,0,1,0,0,0,0,0,0,14,0,0,0,0,2,1,1,1,1,16,1,1,1,1,0.302920878,0.111884587
6539,"Pence, Mike",20117,107,2001,IN,2,0,1,2000,0,0,0,51,2601,0.779999971,0.576999962,0.307999969,10,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,1,0,0,0,0,36,0,0,0,0,0.549366295,
6995,"Pence, Mike",20117,108,2003,IN,6,0,1,2000,0,0,0,64,4096,0.779999971,0.524999976,0.279999971,9,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0.069730394,0.549366295
7438,"Pence, Mike",20117,109,2005,IN,6,0,1,2000,0,0,0,67,4489,0.779999971,0.476999968,0.265999973,9,0,0,0,0,0,3,9,0,0,0,0,0,0,1,1,1,0,0,6,0,0,0,0,1,0,0,0,0,8,1,1,0,0,0.568912446,0.069730394
7885,"Pence, Mike",20117,110,2007,IN,6,0,0,2000,0,0,0,60,3600,0.779999971,0.956999958,1.18599999,9,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.050134487,0.568912446
7773,"Johnson, Sam",29143,110,2007,TX,3,0,0,1991,0,0,0,63,3969,0.77700001,0.953999996,1.182999969,32,0,0,0,1,0,9,81,1,0.209999993,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0.087735355,0.99832654
6145,"Sensenbrenner, James",14657,106,1999,WI,9,0,1,1978,0,0,0,91,8281,0.776000023,0.618000031,0.333000034,9,0,1,0,0,0,11,121,1,0.248999998,0,0,0,0,1,1,0,0,0,13,5,5,5,1,0,0,0,0,0,14,6,5,5,1,2.084671974,3.743652105
6530,"Otter, C.",20114,107,2001,ID,1,0,1,2000,0,0,0,65,4225,0.776000023,0.573000014,0.30400002,2,0,0,0,0,0,1,1,1,0.109999999,0,0,0,0,0,0,0,0,0,10,2,2,1,1,3,1,1,0,0,13,3,3,1,1,1.124915719,
6985,"Otter, C.",20114,108,2003,ID,1,0,1,2000,0,0,0,59,3481,0.776000023,0.521000028,0.276000023,2,0,0,0,0,0,2,4,1,0.109999999,0,0,0,0,0,0,0,0,0,18,0,0,0,0,2,0,1,1,1,20,0,1,1,1,0.409080714,1.124915719
7428,"Otter, C.",20114,109,2005,ID,1,0,1,2000,0,0,0,70,4900,0.776000023,0.47300002,0.262000024,2,0,0,0,0,0,3,9,1,0.109999999,0,0,0,0,0,0,0,0,0,13,4,2,2,1,0,0,0,0,0,13,4,2,2,1,1.468674421,0.409080714
6823,"Garrett, Scott",20336,108,2003,NJ,5,0,1,2002,0,0,0,59,3481,0.771000028,0.516000032,0.271000028,13,0,0,0,0,1,1,1,1,0.319999993,0,0,0,0,0,0,0,0,0,10,1,1,1,0,3,1,1,1,1,13,2,2,2,1,0.660557806,
