,thomas_num,thomas_name,first_name,last_name,icpsr,congress,year,st_name,cd,dem,majority,elected,female,votepct,votepct_sq,dwnom1,deleg_size,speaker,chair,subchr,power,budget,seniority,sensq,maj_leader,min_leader,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,all_bills,all_aic,all_abc,all_pass,all_law,les
8019,8019,"Aderholt, Robert", Robert,Aderholt,29701,111,2009,AL,4,0,0,1996,0,75,5625,0.470999986,7,0,0,0,1,1,7,49,0,0,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,7,0,1,1,0,0.329891145
8469,8470,"Aderholt, Robert", Robert,Aderholt,29701,112,2011,AL,4,0,1,1996,0,99,9801,0.467000008,7,0,0,1,1,0,8,64,0,0,2,2,2,2,1,8,0,2,2,1,0,0,0,0,0,10,2,4,4,2,3.735449791
8020,8020,"Adler, John", John,Adler,20928,111,2009,NJ,3,1,1,2008,0,52,2704,-0.123999998,13,0,0,0,0,0,1,1,0,0,0,0,0,0,0,22,3,3,3,0,1,0,0,0,0,23,3,3,3,0,1.352485299
892,892,"Akaka, Daniel", Daniel,Akaka,14400,95,1977,HI,2,1,1,1976,0,84,7056,-0.444999993,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,19,1,1,0,0,4,0,0,0,0,23,1,1,0,0,0.279342353
1335,1335,"Akaka, Daniel", Daniel,Akaka,14400,96,1979,HI,2,1,1,1976,0,88,7744,-0.448000014,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0,6,1,1,1,0,3,0,1,1,1,9,1,2,2,1,0.398126096
1775,1775,"Akaka, Daniel", Daniel,Akaka,14400,97,1981,HI,2,1,1,1976,0,90,8100,-0.451999992,2,0,0,0,1,0,3,9,0,0,0,0,0,0,0,5,0,0,0,0,3,0,1,1,1,8,0,1,1,1,0.168031946
2222,2222,"Akaka, Daniel", Daniel,Akaka,14400,98,1983,HI,2,1,1,1976,0,89,7921,-0.455000013,2,0,0,0,1,0,4,16,0,0,1,1,1,1,1,11,3,0,0,0,2,1,1,1,1,14,5,2,2,2,1.299705267
2667,2667,"Akaka, Daniel", Daniel,Akaka,14400,99,1985,HI,2,1,1,1976,0,82,6724,-0.458000004,2,0,0,0,1,0,5,25,0,0,1,1,1,0,0,7,1,0,0,0,1,0,0,0,0,9,2,1,0,0,0.500386894
3109,3109,"Akaka, Daniel", Daniel,Akaka,14400,100,1987,HI,2,1,1,1976,0,76,5776,-0.462000012,2,0,0,0,1,0,6,36,0,0,0,0,0,0,0,7,1,1,1,1,0,0,0,0,0,7,1,1,1,1,0.543516994
3555,3555,"Akaka, Daniel", Daniel,Akaka,14400,101,1989,HI,2,1,1,1976,0,89,7921,-0.465000004,2,0,0,0,1,0,7,49,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0.088919409
6234,6234,"Akin, W.", W.,Akin,20123,107,2001,MO,2,0,1,2000,0,55,3025,0.726999998,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.031213993
6681,6681,"Akin, W.", W.,Akin,20123,108,2003,MO,2,0,1,2000,0,67,4489,0.726999998,9,0,0,1,0,0,2,4,0,0,1,1,1,1,0,2,1,1,1,0,0,0,0,0,0,3,2,2,2,0,1.142555475
7124,7124,"Akin, W.", W.,Akin,20123,109,2005,MO,2,0,1,2000,0,65,4225,0.726999998,9,0,0,0,0,0,3,9,0,0,1,1,1,1,0,6,1,0,0,0,0,0,0,0,0,7,2,1,1,0,0.966262519
7568,7568,"Akin, W.", W.,Akin,20123,110,2007,MO,2,0,0,2000,0,61,3721,0.726999998,9,0,0,0,0,0,4,16,0,0,0,0,0,0,0,6,0,0,0,0,3,3,3,3,0,9,3,3,3,0,0.242851034
8021,8021,"Akin, W.", W.,Akin,20123,111,2009,MO,2,0,0,2000,0,62,3844,0.754000008,9,0,0,0,0,0,5,25,0,0,0,0,0,0,0,5,0,0,0,0,3,3,3,3,0,8,3,3,3,0,0.286685616
8470,8471,"Akin, W.", W.,Akin,20123,112,2011,MO,2,0,1,2000,0,68,4624,0.745999992,4,0,0,1,0,1,6,36,0,0,0,0,0,0,0,7,2,0,0,0,3,3,3,3,3,10,5,3,3,3,0.833627641
5,5,"Albert, Carl", Carl,Albert,NA,93,1973,OK,3,1,0,1946,0,93,8649,NA,6,1,0,0,0,0,14,196,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.001033682
450,450,"Albert, Carl", Carl,Albert,NA,94,1975,OK,3,3,0,1946,0,100,10000,NA,6,1,0,0,0,0,15,225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1336,1336,"Albosta, Donald", Donald,Albosta,14600,96,1979,MI,10,1,1,1978,0,51,2601,-0.238999993,19,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,1,1,1,0,0,0,0,0,0,8,1,1,1,0,0.343248516
1776,1776,"Albosta, Donald", Donald,Albosta,14600,97,1981,MI,10,1,1,1978,0,52,2704,-0.238999993,19,0,0,0,0,0,2,4,0,0,0,0,0,0,0,14,2,1,0,0,2,0,0,0,0,16,2,1,0,0,0.388104975
2223,2223,"Albosta, Donald", Donald,Albosta,14600,98,1983,MI,10,1,1,1978,0,60,3600,-0.238999993,18,0,0,1,0,0,3,9,0,0,1,1,1,1,0,20,8,1,0,0,2,0,0,0,0,23,9,2,1,0,1.208723068
6,6,"Alexander, Bill", Bill,Alexander,12000,93,1973,AR,1,1,1,1968,0,100,10000,-0.280999988,4,0,0,1,0,0,3,9,0,0,2,2,2,1,1,51,1,1,1,0,0,0,0,0,0,53,3,3,2,1,1.875050545
451,451,"Alexander, Bill", Bill,Alexander,12000,94,1975,AR,1,1,1,1968,0,91,8281,-0.30399999,4,0,0,0,1,0,4,16,0,0,0,0,0,0,0,35,0,0,0,0,1,0,0,0,0,36,0,0,0,0,0.201779097
893,893,"Alexander, Bill", Bill,Alexander,12000,95,1977,AR,1,1,1,1968,0,69,4761,-0.326999992,4,0,0,0,1,0,5,25,0,0,0,0,0,0,0,37,0,0,0,0,2,1,1,1,1,39,1,1,1,1,0.315449327
1337,1337,"Alexander, Bill", Bill,Alexander,12000,96,1979,AR,1,1,1,1968,0,100,10000,-0.349000007,4,0,0,0,1,0,6,36,0,0,1,0,1,1,1,15,0,0,0,0,0,0,0,0,0,16,0,1,1,1,0.882589519
1777,1777,"Alexander, Bill", Bill,Alexander,12000,97,1981,AR,1,1,1,1968,0,100,10000,-0.372000009,4,0,0,0,1,0,7,49,1,0,0,0,0,0,0,16,4,0,0,0,1,0,0,0,0,17,4,0,0,0,0.417243034
2224,2224,"Alexander, Bill", Bill,Alexander,12000,98,1983,AR,1,1,1,1968,0,65,4225,-0.395000011,4,0,0,0,1,0,8,64,1,0,0,0,0,0,0,8,1,0,0,0,2,0,0,0,0,10,1,0,0,0,0.160205707
2668,2668,"Alexander, Bill", Bill,Alexander,12000,99,1985,AR,1,1,1,1968,0,97,9409,-0.416999996,4,0,0,0,1,0,9,81,1,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,21,0,0,0,0,0.310457259
3110,3110,"Alexander, Bill", Bill,Alexander,12000,100,1987,AR,1,1,1,1968,0,64,4096,-0.439999998,4,0,0,0,1,0,10,100,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,17,2,0,0,0,0.372535735
3556,3556,"Alexander, Bill", Bill,Alexander,12000,101,1989,AR,1,1,1,1968,0,100,10000,-0.463,4,0,0,0,1,0,11,121,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,11,2,0,0,0,0.274368465
4005,4005,"Alexander, Bill", Bill,Alexander,12000,102,1991,AR,1,1,1,1968,0,64,4096,-0.485000014,4,0,0,0,1,0,12,144,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0.176177457
7125,7125,"Alexander, Rodney", Rodney,Alexander,90327,109,2005,LA,5,0,1,2002,0,NA,NA,0.453000009,7,0,0,0,1,0,2,4,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,4,0,1,1,0,0.300465316
7569,7569,"Alexander, Rodney", Rodney,Alexander,90327,110,2007,LA,5,0,0,2002,0,NA,NA,0.453000009,7,0,0,0,1,1,3,9,0,0,0,0,0,0,0,6,0,0,0,0,2,1,1,1,1,8,1,1,1,1,0.202651903
8022,8022,"Alexander, Rodney", Rodney,Alexander,90327,111,2009,LA,5,0,0,2002,0,100,10000,0.5,7,0,0,0,1,0,4,16,0,0,0,0,0,0,0,9,2,1,1,0,0,0,0,0,0,9,2,1,1,0,0.58851254
8471,8472,"Alexander, Rodney", Rodney,Alexander,90327,112,2011,LA,5,0,1,2002,0,79,6241,0.5,7,0,0,0,1,0,5,25,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0.080526076
6682,6682,"Alexander, Rodney", Rodney,Alexander,20327,108,2003,LA,5,1,0,2002,0,NA,NA,-0.082999997,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.049807426
4006,4006,"Allard, Wayne", Wayne,Allard,29108,102,1991,CO,4,0,0,1990,0,54,2916,0.600000024,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0.12535353
4451,4451,"Allard, Wayne", Wayne,Allard,29108,103,1993,CO,4,0,0,1990,0,58,3364,0.600000024,6,0,0,0,0,1,2,4,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,5,2,0,0,0,0.205254555
4896,4896,"Allard, Wayne", Wayne,Allard,29108,104,1995,CO,4,0,1,1990,0,72,5184,0.600000024,6,0,0,1,0,1,3,9,0,0,2,2,1,1,1,9,3,2,2,1,0,0,0,0,0,11,5,3,3,2,2.513904095
452,452,"Allen, Clifford", Clifford,Allen,14286,94,1975,TN,5,1,1,1975,0,NA,NA,-0.236000001,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0.060763024
894,894,"Allen, Clifford", Clifford,Allen,14286,95,1977,TN,5,1,1,1975,0,92,8464,-0.236000001,8,0,0,0,0,0,2,4,0,0,0,0,0,0,0,17,0,0,0,0,6,1,1,1,1,23,1,1,1,1,0.194399029
4007,4007,"Allen, George", George,Allen,29148,102,1991,VA,7,0,0,1991,0,63,3969,0.477999985,10,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,1,1,1,0,1,0,0,0,0,8,1,1,1,0,0.334070712
5342,5342,"Allen, Thomas", Thomas,Allen,29728,105,1997,ME,1,1,0,1996,0,55,3025,-0.428000003,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,0,0,0,0,1,1,1,1,0,9,1,1,1,0,0.217982382
5791,5791,"Allen, Thomas", Thomas,Allen,29728,106,1999,ME,1,1,0,1996,0,60,3600,-0.428000003,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0,5,0,0,0,0,1,1,1,1,0,6,1,1,1,0,0.137800455
6235,6235,"Allen, Thomas", Thomas,Allen,29728,107,2001,ME,1,1,0,1996,0,60,3600,-0.428000003,2,0,0,0,0,0,3,9,0,0,0,0,0,0,0,13,0,0,0,0,1,1,1,0,0,14,1,1,0,0,0.252795845
6683,6683,"Allen, Thomas", Thomas,Allen,29728,108,2003,ME,1,1,0,1996,0,64,4096,-0.428000003,2,0,0,0,0,0,4,16,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0.169345245
7126,7126,"Allen, Thomas", Thomas,Allen,29728,109,2005,ME,1,1,0,1996,0,60,3600,-0.428000003,2,0,0,0,0,1,5,25,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0.139855728
7570,7570,"Allen, Thomas", Thomas,Allen,29728,110,2007,ME,1,1,1,1996,0,61,3721,-0.428000003,2,0,0,0,0,1,6,36,0,0,0,0,0,0,0,24,5,3,3,0,0,0,0,0,0,24,5,3,3,0,1.275365591
7571,7571,"Altmire, Jason", Jason,Altmire,20743,110,2007,PA,4,1,1,2006,0,52,2704,-0.109999999,19,0,0,1,0,0,1,1,0,0,0,0,0,0,0,23,2,3,3,1,1,1,1,1,1,24,3,4,4,2,1.472207665
